Meldungen	Saison	Erkrankung	Altersgruppe	Region	Kalenderwoche	Inzidenz
203	2010/11	ILI	0-14	Bundesweit	2011-W30	1691
59	2010/11	ARE	0-4	Bundesweit	2011-W31	4107
146	2010/11	ARE	5-14	Bundesweit	2011-W31	3824
196	2010/11	ARE	15-34	Bundesweit	2011-W31	2701
543	2010/11	ARE	35-59	Bundesweit	2011-W31	4236
72	2010/11	ARE	60+	Bundesweit	2011-W31	0
196	2010/11	ARE	00+	Sueden	2011-W31	4979
358	2010/11	ARE	00+	Mitte (West)	2011-W31	2806
136	2010/11	ARE	00+	Norden (West)	2011-W31	1678
326	2010/11	ARE	00+	Osten	2011-W31	2003
811	2010/11	ARE	15+	Bundesweit	2011-W31	2638
1016	2010/11	ARE	00+	Bundesweit	2011-W31	2802
205	2010/11	ARE	0-14	Bundesweit	2011-W31	3908
59	2010/11	ILI	0-4	Bundesweit	2011-W31	0
146	2010/11	ILI	5-14	Bundesweit	2011-W31	499
196	2010/11	ILI	15-34	Bundesweit	2011-W31	0
543	2010/11	ILI	35-59	Bundesweit	2011-W31	1721
72	2010/11	ILI	60+	Bundesweit	2011-W31	0
196	2010/11	ILI	00+	Sueden	2011-W31	333
358	2010/11	ILI	00+	Mitte (West)	2011-W31	537
136	2010/11	ILI	00+	Norden (West)	2011-W31	0
326	2010/11	ILI	00+	Osten	2011-W31	1428
811	2010/11	ILI	15+	Bundesweit	2011-W31	775
1016	2010/11	ILI	00+	Bundesweit	2011-W31	720
205	2010/11	ILI	0-14	Bundesweit	2011-W31	350
57	2010/11	ARE	0-4	Bundesweit	2011-W32	9886
139	2010/11	ARE	5-14	Bundesweit	2011-W32	3661
194	2010/11	ARE	15-34	Bundesweit	2011-W32	4747
532	2010/11	ARE	35-59	Bundesweit	2011-W32	3559
70	2010/11	ARE	60+	Bundesweit	2011-W32	5584
188	2010/11	ARE	00+	Sueden	2011-W32	5438
350	2010/11	ARE	00+	Mitte (West)	2011-W32	5959
134	2010/11	ARE	00+	Norden (West)	2011-W32	3061
320	2010/11	ARE	00+	Osten	2011-W32	3242
796	2010/11	ARE	15+	Bundesweit	2011-W32	4448
992	2010/11	ARE	00+	Bundesweit	2011-W32	4594
196	2010/11	ARE	0-14	Bundesweit	2011-W32	5569
57	2010/11	ILI	0-4	Bundesweit	2011-W32	0
139	2010/11	ILI	5-14	Bundesweit	2011-W32	1499
194	2010/11	ILI	15-34	Bundesweit	2011-W32	422
532	2010/11	ILI	35-59	Bundesweit	2011-W32	1319
70	2010/11	ILI	60+	Bundesweit	2011-W32	0
188	2010/11	ILI	00+	Sueden	2011-W32	1626
350	2010/11	ILI	00+	Mitte (West)	2011-W32	541
134	2010/11	ILI	00+	Norden (West)	2011-W32	0
320	2010/11	ILI	00+	Osten	2011-W32	773
796	2010/11	ILI	15+	Bundesweit	2011-W32	707
992	2010/11	ILI	00+	Bundesweit	2011-W32	750
196	2010/11	ILI	0-14	Bundesweit	2011-W32	1040
58	2010/11	ARE	0-4	Bundesweit	2011-W33	3444
139	2010/11	ARE	5-14	Bundesweit	2011-W33	2442
194	2010/11	ARE	15-34	Bundesweit	2011-W33	3546
535	2010/11	ARE	35-59	Bundesweit	2011-W33	3052
76	2010/11	ARE	60+	Bundesweit	2011-W33	2052
184	2010/11	ARE	00+	Sueden	2011-W33	817
352	2010/11	ARE	00+	Mitte (West)	2011-W33	1854
136	2010/11	ARE	00+	Norden (West)	2011-W33	1629
330	2010/11	ARE	00+	Osten	2011-W33	5590
805	2010/11	ARE	15+	Bundesweit	2011-W33	2902
1002	2010/11	ARE	00+	Bundesweit	2011-W33	2881
197	2010/11	ARE	0-14	Bundesweit	2011-W33	2743
58	2010/11	ILI	0-4	Bundesweit	2011-W33	1722
139	2010/11	ILI	5-14	Bundesweit	2011-W33	1735
194	2010/11	ILI	15-34	Bundesweit	2011-W33	0
535	2010/11	ILI	35-59	Bundesweit	2011-W33	517
76	2010/11	ILI	60+	Bundesweit	2011-W33	0
184	2010/11	ILI	00+	Sueden	2011-W33	262
